GENE,cluster1,cluster2,cluster3,cluster4,cluster5
WNT10A,8.036023277568878e-122,0.0,1.0,6.922931550439932e-56,1.314686003815002e-40
GNAS,0.9999582260995991,0.0,0.0,3.2398359851863304e-05,9.37554054916879e-06
IRF8,5.0675185405577916e-17,0.0,0.0,0.9999999999762039,2.379441514839165e-11
IRF4,8.6348380460761e-51,0.0,0.0,0.9996852711109958,0.00031472888900324625
BUB3,2.518149524192347e-188,0.0,1.0,1.5219221461839452e-45,9.831109456108505e-30
BCL11A,1.0238560764290228e-65,0.0,0.0,1.0,4.4286733368614146e-23
PPIE,6.284545910752774e-24,0.0,0.0,1.8590335870486803e-90,1.0
SMUG1,1.7844920132401517e-34,0.0,0.0,9.720352950736088e-11,0.9999999999027978
CD40,7.908651881643443e-53,0.0,0.0,8.919344933454487e-11,0.9999999999108056
COMMD3,0.9978317452408592,0.0,0.0,1.0248445196934782e-13,0.002168254759038538
CPLX1,4.4279257218864235e-38,0.0,0.0,1.8302045857776398e-15,1.0
ROBO3,1.356533046701266e-176,0.0,1.0,4.7902864613205636e-63,4.118117113717769e-33
PDGFB,9.18022333520219e-31,0.0,0.0,9.242495319537578e-11,0.9999999999075762
EXOC6,0.9984629869468215,0.0,0.0,0.0014406554477442177,9.63576054353615e-05
CLIC3,0.9989166149830603,0.0,0.0,2.995704674793795e-05,0.001053427970192527
PRKAG1,0.9999676245841732,0.0,0.0,2.607680659697848e-05,6.298609230365885e-06
RBBP7,0.9999343669493116,0.0,0.0,6.563305068771767e-05,8.82638603463899e-75
CXCR4,8.546172060838759e-24,0.0,0.0,0.9999897495532637,1.0250446734835593e-05
CAMTA1,0.9999597996267909,0.0,0.0,3.1128614017909845e-05,9.071759190600089e-06
PTGDS,0.9992482452862423,0.0,0.0,5.724024842134008e-06,0.0007460306889164414
HLX,5.786407813781542e-146,0.0,0.0,1.979954324195728e-44,1.0
C4orf48,4.525740102026509e-07,0.0,0.0,3.9198806991174646e-07,0.9999991554379206
DPYSL2,2.032591976097567e-31,0.0,0.0,3.254880061549133e-21,1.0
PDIA6,0.9999438680421016,0.0,0.0,5.5721003651362786e-05,4.10954246972442e-07
CASZ1,7.905472172878705e-53,0.0,0.0,1.0,8.524089943631376e-51
MAFB,1.566746160431579e-36,0.0,0.0,1.661622962200876e-19,1.0
FLI1,2.315090061945943e-67,0.0,0.0,0.0014613986469342915,0.9985386013530642
BCL11B,2.704236665315151e-212,0.0,0.0,0.9999808033834044,1.919661659432739e-05
C9orf142,0.9988035784012925,0.0,0.0,2.900783893875858e-06,0.0011935208148124163
TAP1,0.9965948842018748,0.0,0.0,1.6498204058201953e-10,0.003405115633141826
FAM172A,0.9997815233980933,0.0,0.0,0.00017193728439188587,4.6539317514641454e-05
SMPD3,6.471308487291293e-10,0.0,0.0,0.9999460599958704,5.3939356997593305e-05
CD6,0.9977785240176554,0.0,0.0,0.0022214759823428044,6.174033079850234e-23
IKZF1,9.510809859211124e-39,0.0,0.0,0.9998796697213006,0.00012033027869984613
BCOR,0.9997577055490382,0.0,0.0,0.0002422944509627218,3.444995707857178e-31
TAL1,5.477438505880267e-122,0.0,1.0,4.030716531181285e-39,1.9662947566345833e-27
TCL1A,2.9508352972375126e-43,0.0,0.0,0.0015966085993574658,0.9984033914006442
NCKAP1L,0.9985984957750891,0.0,0.0,0.0013830290609458994,1.8475163965431376e-05
RPF1,1.564101224725963e-24,0.0,0.0,0.00024866483325389384,0.9997513351667451
RUNX3,1.2678793466425567e-44,0.0,0.0,0.9992541725354813,0.0007458274645198484
GIMAP5,0.9985909283978931,0.0,0.0,3.806972776528067e-27,0.0014090716021075388
HES4,2.6306047617373176e-23,0.0,0.0,8.72835241384145e-20,1.0
WDFY4,0.9975836915442025,0.0,0.0,0.0024163084557975354,1.0636984896438234e-21
BMI1,0.935533080842579,0.0,0.0,2.8573638004723106e-14,0.06446691915739244
NKD2,8.325077019281592e-33,0.0,0.0,0.9999999987162518,1.2837478765767551e-09
CCND2,4.576523648626833e-26,0.0,0.0,0.9999840895952474,1.5910404754034625e-05
THBD,2.710498837429406e-22,0.0,0.0,0.0006452364050508263,0.9993547635949499
ETS1,8.788518248204309e-25,0.0,0.0,0.001802142827112679,0.9981978571728856
CELF2,4.379537548820035e-12,0.0,0.0,0.9972567292519762,0.0027432707436459273
PRKAG2,0.9999550459687859,0.0,0.0,1.681444678132606e-05,2.813958443215241e-05
TBKBP1,0.9576110673359333,0.0,0.0,0.033005211883406715,0.009383720780658827
FXYD6,2.9178100310093e-29,0.0,0.0,0.9999999999571472,4.285462232875925e-11
RSRC1,6.727358504225313e-97,0.0,0.0,4.214051468716471e-12,0.9999999999957865
DLGAP4,1.955683877864232e-48,0.0,0.0,0.9999999949726011,5.027398223894397e-09
RASGEF1A,1.5519701609071982e-42,0.0,0.0,0.9999999979908267,2.009174046578646e-09
PLAGL1,0.9962712753742958,0.0,0.0,0.003088886400128797,0.0006398382255755771
TCEA2,9.391136483549372e-08,0.0,0.0,0.018247146364752585,0.981752759723884
HOXB2,0.0,1.0,0.0,0.0,0.0
CSF2RB,6.687050593123359e-41,0.0,0.0,0.9999999999931681,6.830503049216349e-12
GLT1D1,2.3008080300614986e-11,0.0,0.0,0.7821208082966341,0.21787919168035866
LMNA,0.9972203830212215,0.0,0.0,7.174138541267442e-06,0.0027724428402371875
PSMG3-AS1,0.9999524955866247,0.0,0.0,3.57756799366108e-05,1.1728733439381603e-05
MTMR9,6.136098023785903e-34,0.0,0.0,0.9999996622153839,3.377846149425725e-07
MTHFSD,2.298590033086284e-131,0.0,0.0,0.001539439200939316,0.9984605607990615
ANP32B,0.9990745394313326,0.0,0.0,2.94880849823173e-17,0.0009254605686665993
NFIC,1.9409344520023488e-06,0.0,0.0,1.0568542006867358e-36,0.9999980590655475
RIPK3,6.664494311083626e-18,0.0,0.0,2.0523559356418094e-15,0.9999999999999964
ICOSLG,8.86989773909016e-22,0.0,0.0,0.9981066402904674,0.0018933597095338612
CDKN2C,0.9967087145720731,0.0,0.0,1.7439393676135003e-13,0.00329128542775373
CXCL16,0.0005932547895909381,0.0,0.0,0.007024011007871969,0.9923827342025365
ACTR5,7.3432110371971634e-37,0.0,0.0,3.2553855109785947e-14,0.999999999999968
FBXL8,2.0455749157375637e-115,0.0,0.0,5.889577994940543e-34,1.0
QSOX2,0.9880681872801874,0.0,0.0,0.01186631397933568,6.549874047524716e-05
HLA-C,0.997201691715771,0.0,0.0,0.002798274492888317,3.3791340158277586e-08
LAMP5,1.6208531171172318e-30,0.0,0.0,4.4136040404316545e-08,0.9999999558639604
CBFA2T3,1.8609257760459712e-101,0.0,0.0,0.9999999425839102,5.741609056393113e-08
LMF1,0.9999997455375405,0.0,0.0,8.860240345521624e-09,2.456022189697721e-07
IQSEC2,2.0509262760305446e-42,0.0,0.0,1.0,1.9358225219435017e-50
ZFHX3,0.0007062177088516877,0.0,0.0,3.937701995458542e-34,0.999293782291149
LEF1,2.489764087527084e-26,0.0,0.0,0.0036476851399424434,0.9963523148600593
CBX4,1.0524624101293897e-06,0.0,0.0,7.823982175938973e-36,0.9999989475375909
FAF1,0.9993654150165354,0.0,0.0,9.197777130538548e-08,0.0006344930056933348
HHEX,1.901192365092049e-20,0.0,0.0,7.387504805476222e-06,0.9999926124951941
ZEB2,1.8316848439137394e-68,0.0,0.0,3.84137124438481e-07,0.9999996158628753
MFNG,3.2019805010263336e-87,0.0,0.0,1.0,8.365926182026013e-28
FMNL1,0.9994705088342813,0.0,0.0,2.609456363968232e-05,0.0005033966020787221
TSC22D3,9.116068461701957e-20,0.0,0.0,1.0,3.629930148484636e-66
CYTH4,4.6948935979460837e-132,0.0,0.0,0.9999998197508602,1.80249140023372e-07
HS3ST3B1,4.728826261829921e-47,0.0,0.0,0.012872531913387584,0.9871274680866118
FBRS,0.9981848681812365,0.0,0.0,1.1478450634827424e-15,0.0018151318187611756
AUTS2,4.3951059248747325e-12,0.0,0.0,2.088577990198651e-25,0.9999999999956053
ZNHIT3,0.9948598155786497,0.0,0.0,5.569967548412613e-07,0.005139627424596153
SKAP2,4.668924249108191e-44,0.0,0.0,4.9839677786595236e-05,0.999950160322213
NEURL1,4.1952225009889824e-05,0.0,0.0,0.9999574395056268,6.082693620832157e-07
ARF1,0.9883779454866546,0.0,0.0,1.1487230220353387e-29,0.011622054513346369
CEACAM21,1.5367119497969046e-37,0.0,0.0,1.0,7.689654022938497e-18
YTHDC2,0.9993325679312008,0.0,0.0,6.513158969802329e-07,0.0006667807529027917
PMEPA1,0.9996373855127803,0.0,0.0,0.00035181259913934026,1.0801888079893282e-05
RPS4X,0.9986793118538466,0.0,0.0,0.001320688037941697,1.0821186552097428e-10
SEC11C,0.0005242563253120095,0.0,0.0,0.00785265901043508,0.9916230846642518
