GENE,cluster1,cluster2
MAFB,1.0,1.2164118932507906e-20
CD300E,1.0,2.4360010921071023e-203
GNAS,1.0,0.0
CD40,1.0,0.0
C4orf48,1.0,6.853279437114476e-62
BUB3,0.4923112902229234,0.5076887097770753
HLX,1.0,7.65983493246839e-20
HES4,0.9999999998934577,1.0654133196852507e-10
HCK,1.0,3.569324879389063e-24
MMP9,1.0,1.0868214275045995e-78
OLIG1,1.0,1.1180834370923516e-30
IRF8,1.0,0.0
CXCL16,1.0,6.528533452647785e-102
APOBEC3A,1.0,2.78e-321
PRKAG1,1.0,4.0882812288355985e-302
CAMTA1,1.0,4.74703333489964e-309
CDKN2A,0.0010885991444855576,0.9989114008555153
LMO2,1.0,8.794040157647856e-224
OLIG2,0.0035178876379387573,0.9964821123620603
GIMAP5,1.0,1.7679780971011312e-15
PPIE,1.0,0.0
SMUG1,1.0,7.339987107632301e-294
RNF220,1.0,4.8671908968281244e-37
ZEB2,0.9999999999872458,1.2754585371094036e-11
PDIA6,1.0,8.612021748623371e-203
ITGB2,1.0,0.0
GATA3,4.76861502447097e-11,0.9999999999523155
MT2A,0.9999999999999822,1.7067664275096656e-14
S100A8,1.0,1.4784773747879977e-86
CXCR4,1.0,0.0
FAM172A,1.0,5.977639414365051e-267
ASCL2,1.0,1.7949515882188e-310
EXOC6,1.0,3.49596e-319
PRKAG2,1.0,3.005788556208552e-287
THBD,0.9999999996266595,3.7333986987470893e-10
TAP1,1.0,5.725828875603708e-155
BCL11B,1.0,0.0
LMNA,1.0,1.883481606523013e-199
IRF4,1.0,8.091719444205858e-301
HPCAL4,1.0,0.0
PAX5,9.520214851834884e-06,0.9999904797851498
C1orf61,1.3451118759478868e-07,0.9999998654888121
FLI1,1.0,0.0
S100A9,1.0,7.047259602080142e-239
NCKAP1L,1.0,0.0
C1QA,1.0,1.0776172755134e-310
NTNG2,3.0189654554198867e-10,0.9999999996981046
COMMD3,1.0,1.1628583273758528e-95
RPF1,1.0,1.1688802173242713e-44
STK3,1.0,5.118387291582973e-289
CBX8,0.012344253456851039,0.9876557465431475
PDGFB,1.0,8.113732841596014e-17
RIPK3,1.0,5.8780110344247564e-24
IQSEC2,1.0,1.7608313413559604e-19
LEF1,0.9999999999999929,7.130064382051859e-15
NRN1,0.002501536942746932,0.9974984630572515
MT1F,1.0,0.0
EOMES,1.0,5.284397984849542e-89
ZFHX3,0.9999999903122863,9.687712570973258e-09
FCGR2A,1.0,4.0899175698984474e-294
CASZ1,1.0,4.519950013986258e-16
NFIC,1.0,1.1250277367712357e-58
TSC22D3,1.0,1.024781346520207e-111
TMEM176B,1.0,3.0975767273710176e-169
ZNF503,1.0,1.2553133682896609e-232
RUNX3,1.0,0.0
ZSCAN9,1.0,2.2258956126401182e-37
RBBP7,1.0,7.593589474158859e-72
IGF2BP3,1.0,1.9974936390989075e-106
DPYSL2,0.9999999945415432,5.458455460442455e-09
TYMP,1.0,1.5766467891016829e-291
TNFSF8,1.0,5.229581856170155e-103
TRIM36,0.9999999999999858,1.401208544523587e-14
CACNA2D4,1.0,7.123119577807413e-256
CD6,1.0,1.3376027113943807e-68
IKZF1,1.0,0.0
SPR,1.0,0.0
HLA-C,1.0,8.668213091264521e-296
PDE4A,1.0,2.120993554664195e-133
DLGAP4,1.0,9.043061027316297e-121
BCOR,1.0,4.3981488517410495e-24
HOXB6,4.257441434717725e-264,1.0
HOTAIRM1,1.0706207789809618e-236,1.0
C10orf11,1.0,0.0
PRSS16,2.1564575394110275e-24,1.0
TCHH,0.006429440179467127,0.9935705598205335
CBX4,0.9999999999999964,2.198341083619765e-15
CRNDE,1.0,5.221401722906005e-233
VENTX,1.0,1.3620818348749478e-250
GRAP2,1.0,1.3754166138047834e-98
METAP1D,1.0,2.9358883368267117e-236
TCEA2,1.0,2.2458117781461086e-30
TBX21,1.0,6.399701922697606e-171
SLFN12L,1.0,0.0
ACSL1,1.0,1.648746405743974e-284
GJA3,1.0,2.61317687175636e-22
RSRC1,0.9999999999730917,2.690950797252639e-11
NR4A2,1.0,1.70167710223454e-309
ANP32B,1.0,2.6092345918733278e-65
CELF2,1.0,2.772519050641933e-55
