GENE,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8
GATA3,3.945205262234139e-70,0.0,0.0,0.0,0.0,1.0,1.5609785263915488e-45,0.0
GNAS,1.9645874927569945e-07,0.0,0.0,4.232546045291851e-14,0.0,0.0,2.2236931309402532e-18,0.9999998035412092
BUB3,1.886579148444544e-47,0.0,0.0,0.0,0.0,1.0,1.324713518804239e-37,0.0
BCL11B,2.575397755495712e-13,0.0,0.0,0.0,0.0,0.0,0.9999999999997442,5.990496380442383e-254
PPIE,2.1822890786137516e-98,0.0,0.0,2.3874310243042565e-60,1.0,0.0,2.1645070351978038e-92,7.093092141460112e-207
LEF1,0.9999919610013893,0.0,0.0,4.751250808182447e-46,0.0,0.0,8.038998611255494e-06,1.456218933682959e-107
NR4A2,1.884930995961173e-07,0.0,0.0,1.7374940879784791e-71,0.0,0.0,0.9999998115068998,1.1668965531335975e-56
GIMAP5,4.6000428702000425e-12,0.0,0.0,0.9999999999953992,0.0,0.0,4.0826854369412125e-35,8.335003164649324e-49
PRKAG1,7.605291300294001e-08,0.0,0.0,1.9242908185636983e-07,0.0,0.0,1.3985151021239821e-18,0.9999997315180048
CXCR4,0.9999999999999325,0.0,0.0,0.0,0.0,0.0,6.700043630899269e-14,1.2882002343335084e-39
CD6,0.999999999977895,0.0,0.0,7.066769679660755e-232,0.0,0.0,3.449565515221451e-36,2.210416549234887e-11
WNT10A,2.454912267037857e-73,0.0,0.0,0.0,0.0,1.0,3.103709432512458e-38,0.0
METAP1D,1.2763694710300376e-05,0.0,0.0,0.9999872001969369,0.0,0.0,6.575510553073999e-17,3.610835259473917e-08
TSC22D3,3.924762090832725e-26,0.0,1.0,0.0,0.0,0.0,2.04014455863337e-70,7.491746923599987e-61
RPF1,0.9999511617163566,0.0,0.0,4.401241930680536e-95,0.0,0.0,4.8838283642087494e-05,3.707882755149165e-61
ULBP2,1.5275038841012128e-69,0.0,0.0,2.965816986620891e-153,1.0,0.0,4.277057553847294e-34,2.1547804099443318e-138
HPCAL4,7.938136915819927e-112,0.0,0.0,1.0168575155132334e-135,1.0,0.0,1.0017614893974072e-75,4.4493729096919345e-164
HES4,2.164039863482665e-12,0.0,0.0,1.023086225461605e-101,0.0,0.0,0.9999999999978364,6.539401333946011e-42
RBBP7,0.9997973630286419,0.0,0.0,0.0,0.0,0.0,4.350041736618704e-61,0.0002026369713593996
FAM172A,8.771268825279064e-06,0.0,0.0,0.0022520644617806153,0.0,0.0,2.697443366740009e-16,0.9977391642693944
CAMTA1,7.37536619191327e-08,0.0,0.0,2.4337130686727223e-11,0.0,0.0,8.186073503086078e-18,0.9999999262220004
BCOR,0.9999999999553708,0.0,0.0,0.0,0.0,0.0,5.4936828223341075e-25,4.462935635438646e-11
FLI1,2.6558158612602045e-10,0.0,0.0,1.299523854769793e-192,0.0,0.0,0.9999999997344169,8.132534166515073e-184
IKZF1,1.0,0.0,0.0,7e-322,0.0,0.0,6.827243409878047e-20,9.736224435891355e-49
