GENE,cluster1,cluster2,cluster3,cluster4
GNAS,1.0,0.0,0.0,0.0
GATA3,4.0604675992905784e-33,0.0,1.0,0.0
CDKN2A,2.6982406501749217e-26,0.0,1.0,0.0
BUB3,9.883623902362378e-22,0.0,1.0,0.0
BCL11B,6.793969157771971e-19,0.0,1.0,0.0
PPIE,4.840575261777304e-41,0.0,0.0,1.0
PRKAG1,1.0,0.0,0.0,0.0
GIMAP5,1.0,0.0,0.0,0.0
EOMES,1.549740143866398e-16,0.0,1.0,0.0
SLFN12L,1.345857744656841e-25,0.0,1.0,0.0
CXCR4,1.0,0.0,0.0,0.0
CD40,1.0,0.0,0.0,0.0
NSG1,1.0,0.0,0.0,0.0
LEF1,1.0,0.0,0.0,0.0
CD6,1.0,0.0,0.0,0.0
C4orf48,1.0,0.0,0.0,0.0
FAM172A,1.0,0.0,0.0,0.0
GRAP2,1.0,0.0,0.0,0.0
CACNA2D4,1.0,0.0,0.0,0.0
FLI1,1.723831282971008e-19,0.0,1.0,0.0
IRF8,1.0,0.0,0.0,0.0
SMUG1,1.0,0.0,0.0,0.0
CD300E,1.0,0.0,0.0,0.0
TBKBP1,1.0,0.0,0.0,0.0
RPF1,1.0,0.0,0.0,0.0
RBBP7,1.0,0.0,0.0,0.0
DPYSL2,1.0,0.0,0.0,0.0
COMMD3,1.0,0.0,0.0,0.0
MT1F,1.7016794181129787e-41,0.0,0.0,1.0
RORA,1.0,0.0,0.0,0.0
NR4A2,1.0,0.0,0.0,0.0
ULBP2,3.837789549716852e-36,0.0,0.0,1.0
MTMR9,1.0,0.0,0.0,0.0
ASCL2,1.0,0.0,0.0,0.0
MT2A,8.622601936986146e-31,0.0,0.0,1.0
TSC22D3,1.0,0.0,0.0,0.0
PDIA6,1.0,0.0,0.0,0.0
RAB11FIP4,1.0,0.0,0.0,0.0
CLIC3,1.0,0.0,0.0,0.0
NCKAP1L,1.0,0.0,0.0,0.0
MT1X,6.629946335528495e-41,0.0,0.0,1.0
IKZF1,1.0,0.0,0.0,0.0
TCEA2,1.0,0.0,0.0,0.0
ZBTB16,1.0,0.0,0.0,0.0
RUNX3,1.0,0.0,0.0,0.0
ENTPD1-AS1,1.0,0.0,0.0,0.0
PTCH1,1.0,0.0,0.0,0.0
ZEB2,1.0,0.0,0.0,0.0
CCND2,1.0,0.0,0.0,0.0
HOXB-AS1,0.0,1.0,0.0,0.0
MTHFSD,1.0,0.0,0.0,0.0
C9orf142,1.0,0.0,0.0,0.0
ITGB2,1.0,0.0,0.0,0.0
NFATC1,1.0,0.0,0.0,0.0
PRKAG2,1.0,0.0,0.0,0.0
PROK2,1.0,0.0,0.0,0.0
RBM10,1.0,0.0,0.0,0.0
TAP1,1.0,0.0,0.0,0.0
CELF2,1.0,0.0,0.0,0.0
HLA-C,1.0,0.0,0.0,0.0
ANP32B,1.0,0.0,0.0,0.0
LMNA,1.0,0.0,0.0,0.0
ETS1,1.0,0.0,0.0,0.0
TMEM229B,1.0,0.0,0.0,0.0
ZNHIT3,1.0,0.0,0.0,0.0
SPOCK2,1.0,0.0,0.0,0.0
APOBEC3A,1.0,0.0,0.0,0.0
ARHGEF7,1.0,0.0,0.0,0.0
FMNL1,1.0,0.0,0.0,0.0
MECP2,1.0,0.0,0.0,0.0
MIAT,1.0,0.0,0.0,0.0
KCNK12,1.0,0.0,0.0,0.0
DUSP2,1.0,0.0,0.0,0.0
IKZF3,1.0,0.0,0.0,0.0
PANK4,1.0,0.0,0.0,0.0
RPS4X,1.0,0.0,0.0,0.0
RASAL3,1.0,0.0,0.0,0.0
SPEF2,1.0,0.0,0.0,0.0
ARF1,1.0,0.0,0.0,0.0
RING1,1.0,0.0,0.0,0.0
SIDT1,1.0,0.0,0.0,0.0
RHPN1,1.0,0.0,0.0,0.0
RPL38,1.0,0.0,0.0,0.0
GPATCH2L,1.0,0.0,0.0,0.0
TAGAP,1.0,0.0,0.0,0.0
NCAM1,1.0,0.0,0.0,0.0
KCNA3,1.0,0.0,0.0,0.0
SYNE2,1.0,0.0,0.0,0.0
CCDC88C,1.0,0.0,0.0,0.0
HOXB2,0.0,1.0,0.0,0.0
IL2RB,1.0,0.0,0.0,0.0
CD8A,1.0,0.0,0.0,0.0
ARHGAP9,1.0,0.0,0.0,0.0
ZFYVE28,1.0,0.0,0.0,0.0
JAKMIP1,1.0,0.0,0.0,0.0
SATB1,1.0,0.0,0.0,0.0
UBXN10-AS1,1.0,0.0,0.0,0.0
PARVG,1.0,0.0,0.0,0.0
DUSP4,1.0,0.0,0.0,0.0
ABT1,1.0,0.0,0.0,0.0
