GENE,cluster1,cluster2
MAFB,0.9697417150130231,0.0302582849869781
GNAS,0.00021713429381803407,0.9997828657061819
BUB3,0.9994361222783582,0.0005638777216417837
GATA3,1.0,1.120867569035159e-47
C4orf48,0.25131319941365343,0.748686800586347
MMP9,0.999162965962273,0.0008370340377286586
PRKAG1,0.00019051039386785542,0.9998094896061318
CD300E,1.0,1.0422756229067943e-35
CD40,0.9999999999999751,2.56080022048996e-14
HCK,1.0,4.1316799844215506e-23
CXCL16,0.006055748770238935,0.99394425122976
RNF220,0.9999999998301057,1.6989388170146767e-10
HLX,0.9893051140296573,0.01069488597034443
IRF8,0.9999999995777955,4.222042099169207e-10
IRF4,0.9999999972226377,2.777361801913776e-09
FOXC1,1.0,3.157370613159506e-18
C1QA,1.0,3.431683305815919e-48
PPIE,1.3842434590975707e-24,1.0
HES4,0.320422701153331,0.67957729884667
THBD,0.295863035345805,0.7041369646541957
LMO2,0.9999999999996803,3.1818519312765694e-13
CAMTA1,0.00013622069473530528,0.999863779305265
OLIG2,1.0,1.9111894523077405e-26
ITGB2,0.01441042958816147,0.9855895704118401
SMUG1,1.0,5.0082030472741736e-21
COMMD3,9.643840528223797e-05,0.9999035615947183
CXCR4,0.9999991471388952,8.528611064414562e-07
VENTX,0.9999999999009468,9.90524177705925e-11
TCHH,1.0,3.180076809733022e-16
PDIA6,0.0034755432903480123,0.9965244567096534
LMNA,0.0014661452394539413,0.9985338547605478
ZEB2,0.9999998831415196,1.168584821162988e-07
APOBEC3A,0.04609261643636109,0.9539073835636387
RPF1,0.9953419798011107,0.004658020198890495
PDGFB,1.0,2.671820519425343e-20
PRKAG2,0.00014904683349918702,0.9998509531665013
NCKAP1L,0.0005782312968735426,0.9994217687031265
RUNX3,0.9903517140708853,0.009648285929113721
EXOC6,0.0006321680962000703,0.9993678319037985
TRIM36,0.03128672237282649,0.9687132776271739
CRNDE,0.9999999999999467,5.356024567558697e-14
BLK,0.004861468168501949,0.995138531831499
GIMAP5,1.0353215802289926e-06,0.9999989646784181
NFIC,0.00023969182306601115,0.9997603081769327
S100A8,0.06836883056026376,0.931631169439738
BCL11A,0.9999999999999893,1.1113748348610993e-14
TAP1,0.00012020666206484618,0.9998797933379366
DPYSL2,0.0028066747121501447,0.9971933252878515
RBBP7,2.251088567492708e-28,1.0
ZNF503,0.9999999999904503,9.550483254751348e-12
IQSEC2,1.64693107501448e-16,1.0
ASCL2,0.25944126929080585,0.7405587307091959
IKZF1,0.9999999999972218,2.7780574286616863e-12
FLI1,0.9999999999957971,4.201700885720131e-12
PDE4A,0.24075607932978196,0.7592439206702183
BCOR,5.800707416151887e-12,0.9999999999941984
IGF2BP3,0.9999999999865814,1.3417007912253938e-11
TSC22D3,1.8021381786797792e-27,1.0
NFATC1,0.0025109417135482145,0.9974890582864527
EHBP1,0.0005043136218161986,0.9994956863781823
ZSCAN9,0.9999998843254967,1.1567450476179475e-07
RSRC1,0.008444452662280047,0.9915555473377194
ANP32B,6.8725953104216185e-06,0.9999931274046909
MT2A,8.353911185320386e-13,0.9999999999991651
CELF2,0.019555469933387797,0.9804445300666131
BMI1,0.0002664950264148501,0.9997335049735843
RIPK3,0.011126281752250484,0.9888737182477495
EGR3,0.9954907276706221,0.004509272329377875
DLGAP4,0.9998874536805881,0.00011254631941092638
S100A9,0.04143176699000835,0.9585682330099905
DOK1,0.08584569655948271,0.9141543034405157
TYMP,0.0008366581836469206,0.9991633418163549
TNFRSF12A,0.004971307881475452,0.9950286921185244
FCGR2A,1.0,1.1481160661753425e-15
SKAP1,1.0,3.010661865664261e-29
MCTP1,0.0004904626371188318,0.9995095373628794
HLA-C,0.011346647621223676,0.9886533523787765
MTMR9,0.9997325429093236,0.00026745709067623055
C10orf11,0.0006621177639716915,0.9993378822360265
MFNG,0.001077217278003503,0.9989227827219954
C1QB,0.9999995848813272,4.1511867320455484e-07
ETV5,0.9999996076685514,3.9233144819807715e-07
HOTAIRM1,1.0,0.0
LEF1,0.06408790895223859,0.9359120910477617
PSMG3-AS1,0.00014368425463742057,0.9998563157453618
C1QC,1.0,4.192590419648828e-31
NR4A2,4.3141488142644476e-05,0.9999568585118562
YTHDC2,0.0034380376420006706,0.9965619623580008
MTHFSD,0.9999999986089989,1.3910020564883173e-09
GMDS,0.0006569742590680744,0.9993430257409311
HS3ST3B1,0.17077723210334836,0.8292227678966507
CDKN2C,2.8247384802388978e-05,0.9999717526151977
CBX4,0.00023889592640554614,0.9997611040735945
CCND2,0.9999912443685025,8.755631496260001e-06
FMNL1,0.03152044505589897,0.9684795549440995
CYTH4,1.0,2.3837487111588194e-17
PRKAG2-AS1,0.0031008313408700822,0.9968991686591303
RASGEF1A,0.9998588067845223,0.00014119321547889744
ZFHX3,0.00040279274688196655,0.9995972072531191
RBM10,6.289672793168095e-06,0.9999937103272053
