GENE,cluster1,cluster2,cluster3,cluster4
GNAS,0.00016436062486731385,0.0,0.9998356393751335,0.0
IRF8,0.998594023440423,0.0,0.0014059765595772049,0.0
CD40,1.0,0.0,4.75283900552175e-43,0.0
BUB3,1.0,0.0,4.6921736466178735e-77,0.0
BLK,0.003518964554251721,0.0,0.9964810354457498,0.0
BCL11A,1.0,0.0,1.1449620361026031e-105,0.0
FAM172A,0.0004901028151876265,0.0,0.9995098971848131,0.0
PPIE,1.8081817158818427e-31,0.0,1.0732109132765788e-68,1.0
CXCR4,0.999999999990127,0.0,9.874296831978634e-12,0.0
C4orf48,0.9999960649942928,0.0,3.935005708271055e-06,0.0
GATA3,1.0,0.0,1.9183684585089154e-130,0.0
PRKAG1,0.00010009264130082197,0.0,0.9998999073586987,0.0
FLI1,1.0,0.0,2.754394406189341e-22,0.0
WNT10A,3.324901580915693e-25,0.0,6.295709389483878e-85,1.0
HPCAL4,4.0878635023495635e-32,0.0,7.115839960160468e-69,1.0
EBF1,1.0,0.0,2.2138416573962005e-34,0.0
BCOR,1.4453924871122018e-15,0.0,1.0,0.0
RPF1,1.0,0.0,1.992037008831571e-25,0.0
EXOC6,0.00017767290934520602,0.0,0.9998223270906546,0.0
SMUG1,1.0,0.0,1.6482909868251714e-52,0.0
CAMTA1,9.42669204990711e-05,0.0,0.9999057330795009,0.0
NR4A2,1.0,0.0,1.5605032898206778e-21,0.0
RIPK3,0.9999999999924434,0.0,7.555052643241608e-12,0.0
COMMD3,0.009718481129186158,0.0,0.9902815188708132,0.0
PDIA6,0.000983748999003643,0.0,0.9990162510009968,0.0
MT1F,6.910944694740327e-28,0.0,2.7711133671873694e-71,1.0
LMO2,1.0,0.0,6.616910763641682e-70,0.0
RBBP7,1.4482059469672305e-37,0.0,1.0,0.0
TCEA2,0.997802762661969,0.0,0.0021972373380320627,0.0
HES4,0.9999999999593996,0.0,4.0599487428110294e-11,0.0
GIMAP5,1.796426025939399e-06,0.0,0.9999982035739741,0.0
GRAP2,9.331007466406604e-06,0.0,0.9999906689925339,0.0
CD6,8.520313262642826e-05,0.0,0.9999147968673733,0.0
PRKAG2,0.00011008908556059578,0.0,0.9998899109144394,0.0
TCL1A,1.0,0.0,7.803169978002469e-17,0.0
TAP1,0.0007287866145735352,0.0,0.9992712133854268,0.0
TSC22D3,7.477430748800499e-32,0.0,1.0,0.0
HHEX,1.0,0.0,8.50627938847516e-26,0.0
NFIC,8.5330443564049e-05,0.0,0.9999146695564356,0.0
IKZF1,0.00948184039654589,0.0,0.9905181596034534,0.0
TNFSF8,6.250887441370416e-05,0.0,0.9999374911255852,0.0
ETS1,0.9999998657897128,0.0,1.3421028545692452e-07,0.0
MT2A,1.7425079272305434e-26,0.0,4.459881234375564e-29,1.0
HCK,1.0,0.0,1.3067413600151707e-64,0.0
MTMR9,1.0,0.0,5.55146055285129e-53,0.0
HLA-C,0.003332515556222042,0.0,0.9966674844437774,0.0
PLAGL1,0.01804931101227893,0.0,0.9819506889877199,0.0
RING1,0.0011787891137619176,0.0,0.9988212108862384,0.0
ZNHIT3,0.04686213572071281,0.0,0.953137864279288,0.0
SLCO4A1,0.9999999999980851,0.0,1.9166256059726426e-12,0.0
PDE4A,0.9999999992690576,0.0,7.309413465597944e-10,0.0
KCNG1,1.0,0.0,4.5288911438864897e-35,0.0
ANP32B,0.00013746692923016782,0.0,0.9998625330707687,0.0
CEACAM21,8.029927366030336e-08,0.0,0.9999999197007267,0.0
STK3,0.00011430423497037592,0.0,0.9998856957650301,0.0
MCC,0.9999998949653188,0.0,1.0503468268846966e-07,0.0
TNFRSF12A,0.0010771988371311208,0.0,0.9989228011628694,0.0
WRAP53,9.043362417046928e-05,0.0,0.9999095663758301,0.0
C9orf142,0.01720931523663708,0.0,0.9827906847633645,0.0
ETV5,1.0,0.0,1.6884655859430044e-45,0.0
WDFY4,0.001263066742537808,0.0,0.9987369332574604,0.0
RUNX3,0.9999999999999929,0.0,6.038795359976508e-15,0.0
NFATC1,0.058669308058145436,0.0,0.9413306919418535,0.0
IGLL5,0.2582141432708963,0.0,0.7417858567291031,0.0
FMNL1,0.07601205960921735,0.0,0.9239879403907841,0.0
RPS4X,1.1813957525559468e-07,0.0,0.9999998818604253,0.0
DOK1,0.46452053892521467,0.0,0.5354794610747838,0.0
CELF2,1.0,0.0,4.339385496118952e-31,0.0
MAL,0.9993431736118398,0.0,0.0006568263881587638,0.0
HOTAIRM1,0.0,1.0,0.0,0.0
ABCG1,4.970056323629108e-05,0.0,0.9999502994367641,0.0
SIDT1,0.0009840760610164525,0.0,0.9990159239389836,0.0
RSRC1,1.0,0.0,1.141377934199806e-50,0.0
TNFRSF13C,0.01883223365842773,0.0,0.981167766341573,0.0
ARHGEF7,0.001494313028229658,0.0,0.9985056869717707,0.0
DLL1,1.0,0.0,6.60893178640312e-27,0.0
MXI1,0.9999999964204243,0.0,3.5795753285541986e-09,0.0
MT1E,2.4483694963522872e-31,0.0,9.669147103505505e-55,1.0
TAGAP,0.0009527346684487177,0.0,0.9990472653315526,0.0
PHACTR1,0.052220188021538876,0.0,0.9477798119784598,0.0
CACNA1A,1.0,0.0,1.459160053504856e-34,0.0
CCND2,0.44222662795252193,0.0,0.5577733720474777,0.0
RPL38,0.169832503752884,0.0,0.8301674962471147,0.0
SATB1,5.9466087145792437e-05,0.0,0.9999405339128533,0.0
APOBEC3A,0.009641712699902102,0.0,0.9903582873000988,0.0
LMNA,0.9998715596823232,0.0,0.00012844031767632384,0.0
ZEB2,1.0,0.0,1.206308163157227e-16,0.0
ECE2,0.00017553043431360745,0.0,0.9998244695656857,0.0
GPATCH2L,0.001057719668761418,0.0,0.9989422803312378,0.0
MAST4,0.9999999999999964,0.0,2.0206222274452157e-15,0.0
KLK1,1.0,0.0,2.9765068292094e-39,0.0
TMEM176B,0.9999999999737526,0.0,2.62490272588953e-11,0.0
PMEPA1,0.009585456721979925,0.0,0.9904145432780188,0.0
AMMECR1,7.970180972389299e-15,0.0,0.9999999999999929,0.0
ARF1,8.719004893995968e-05,0.0,0.9999128099510604,0.0
HOXB-AS1,0.0,1.0,0.0,0.0
TRH,0.9999999999972289,0.0,2.7728479102079716e-12,0.0
TYMP,0.07400204305741923,0.0,0.9259979569425818,0.0
POLG,1.0,0.0,5.430167221183607e-42,0.0
PLCE1,1.0,0.0,1.6158251048882724e-18,0.0
