	cluster1
Adaptive_immune_response	0.0014
Alpha-beta_T_cell_differentiation	3.21e-05
Alpha-beta_T_cell_differentiation_involved_in_immune_response	0.00041
Anatomical_structure_development	0.0032
Cell_activation	3.81e-05
Cell_chemotaxis	0.0014
Cell_differentiation	0.00024
Cell_migration	0.0023
Cellular_zinc_ion_homeostasis	0.0046
Central_nervous_system_development	0.0026
Chemotaxis	0.0039
Developmental_process	0.0026
Embryonic_placenta_development	0.009
Hemopoiesis	8.69e-06
Immune_effector_process	0.008
Immune_response	0.0034
Immune_system_process	9.86e-07
Leukocyte_activation	2.73e-05
Leukocyte_chemotaxis	0.0015
Leukocyte_differentiation	2.13e-05
Leukocyte_migration	0.0001
Lymphocyte_activation	1.77e-05
Lymphocyte_activation_involved_in_immune_response	0.0057
Lymphocyte_differentiation	3.65e-05
Mononuclear_cell_differentiation	2.08e-05
Multicellular_organism_development	0.00025
Negative_regulation_of_RNA_metabolic_process	0.008
Negative_regulation_of_developmental_process	0.0032
Negative_regulation_of_multicellular_organismal_process	0.008
Negative_regulation_of_transcription,_DNA-templated	0.0096
Nervous_system_development	0.0036
Positive_regulation_of_biological_process	0.0044
Positive_regulation_of_cellular_biosynthetic_process	0.00046
Positive_regulation_of_cellular_metabolic_process	0.00016
Positive_regulation_of_cellular_process	0.0042
Positive_regulation_of_macromolecule_metabolic_process	0.00012
Positive_regulation_of_metabolic_process	3.77e-05
Positive_regulation_of_nitrogen_compound_metabolic_process	1.77e-05
Positive_regulation_of_transcription,_DNA-templated	0.00012
Positive_regulation_of_transcription_by_RNA_polymerase_II	0.00016
Regulation_of_CD4-positive,_alpha-beta_T_cell_differentiation	0.0016
Regulation_of_RNA_metabolic_process	9.86e-07
Regulation_of_T_cell_activation	0.0081
Regulation_of_biological_process	0.0025
Regulation_of_cell_activation	0.0017
Regulation_of_cell_differentiation	0.0032
Regulation_of_cellular_biosynthetic_process	3.01e-05
Regulation_of_cellular_metabolic_process	1.77e-05
Regulation_of_cellular_process	0.0018
Regulation_of_developmental_process	0.0035
Regulation_of_gene_expression	8.69e-06
Regulation_of_macromolecule_biosynthetic_process	1.77e-05
Regulation_of_macromolecule_metabolic_process	7.97e-05
Regulation_of_metabolic_process	0.00012
Regulation_of_multicellular_organismal_process	0.00034
Regulation_of_nitrogen_compound_metabolic_process	1.07e-05
Regulation_of_nucleobase-containing_compound_metabolic_process	3.82e-07
Regulation_of_primary_metabolic_process	1.82e-05
Regulation_of_transcription,_DNA-templated	2.62e-06
Regulation_of_transcription_by_RNA_polymerase_II	0.00012
Response_to_external_stimulus	0.00019
Response_to_stress	0.00069
System_development	0.00012
T-helper_1_cell_differentiation	0.008
T-helper_cell_differentiation	0.0058
T_cell_differentiation	5.31e-05
