	cluster1	cluster2	cluster4	cluster7
Anatomical_structure_morphogenesis	1	5.98e-05	1	1
Animal_organ_development	1	5.98e-05	1	1
Animal_organ_morphogenesis	1	8.97e-05	1	1
Anterior/posterior_pattern_specification	1	2.2e-06	1	1
Brain_development	1	0.00044	1	1
Central_nervous_system_development	1	0.00011	1	1
Cranial_nerve_morphogenesis	1	4.48e-06	1	1
Definitive_hemopoiesis	1	6.88e-05	1	1
Embryo_development	1	0.00012	1	1
Embryonic_morphogenesis	1	0.00011	1	1
Embryonic_organ_development	1	3.43e-05	1	1
Embryonic_skeletal_system_development	1	2.27e-07	1	1
Embryonic_skeletal_system_morphogenesis	1	2.69e-06	1	1
Eye_development	1	0.0092	1	1
Facial_nerve_structural_organization	1	1.85e-05	1	1
Hemopoiesis	1	0.0037	1	0.0092
Immune_system_process	1	1	1	0.0032
Pattern_specification_process	1	2.12e-07	1	1
Positive_regulation_of_blood_vessel_endothelial_cell_migration	1	1	1	0.0092
Positive_regulation_of_cellular_metabolic_process	1	1	1	0.0012
Positive_regulation_of_cellular_process	1	0.0062	1	1
Positive_regulation_of_macromolecule_metabolic_process	1	1	1	0.0032
Positive_regulation_of_transcription,_DNA-templated	1	1	1	0.00026
Positive_regulation_of_transcription_by_RNA_polymerase_II	1	2.2e-06	1	0.0041
Regionalization	1	6.13e-07	1	1
Regulation_of_transcription,_DNA-templated	1	1	1	0.0032
Regulation_of_transcription_by_RNA_polymerase_II	1	1	1	0.0092
Rhombomere_3_development	1	0.00074	1	1
Rhombomere_4_development	1	0.00049	1	1
Rhombomere_5_development	1	0.00074	1	1
Rhombomere_development	1	2.12e-07	1	1
Skeletal_system_development	1	4.48e-06	1	1
System_development	1	0.00025	1	1
T_cell_differentiation	1	1	1	0.0092
Thymus_development	1	1	1	0.009
