	cluster2	cluster4	cluster5
Anatomical_structure_morphogenesis	5.98e-05	1	1
Animal_organ_development	5.98e-05	1	1
Animal_organ_morphogenesis	8.97e-05	1	1
Anterior/posterior_pattern_specification	2.2e-06	1	1
Brain_development	0.00044	1	1
Central_nervous_system_development	0.00011	1	1
Cranial_nerve_morphogenesis	4.48e-06	1	1
Definitive_hemopoiesis	6.88e-05	1	1
Embryo_development	0.00012	1	1
Embryonic_morphogenesis	0.00011	1	1
Embryonic_organ_development	3.43e-05	1	1
Embryonic_skeletal_system_development	2.27e-07	1	1
Embryonic_skeletal_system_morphogenesis	2.69e-06	1	1
Eye_development	0.0092	1	1
Facial_nerve_structural_organization	1.85e-05	1	1
Hemopoiesis	0.0037	1	1
Pattern_specification_process	2.12e-07	1	1
Positive_regulation_of_cellular_process	0.0062	1	1
Positive_regulation_of_transcription,_DNA-templated	1	1	0.0037
Positive_regulation_of_transcription_by_RNA_polymerase_II	2.2e-06	1	0.0048
Regionalization	6.13e-07	1	1
Regulation_of_transcription,_DNA-templated	1	1	0.0047
Rhombomere_3_development	0.00074	1	1
Rhombomere_4_development	0.00049	1	1
Rhombomere_5_development	0.00074	1	1
Rhombomere_development	2.12e-07	1	1
Skeletal_system_development	4.48e-06	1	1
System_development	0.00025	1	1
