	cluster1	cluster2	cluster3
Adaptive_immune_response	0.0048	1	1
Adaptive_immune_response_based_on_somatic_recombination_of_immune_receptors_built_from_immunoglobulin_superfamily_domains	0.0094	1	1
Alpha-beta_T_cell_differentiation_involved_in_immune_response	3.87e-05	1	1
Anterior/posterior_pattern_specification	1	0.0053	1
Cellular_response_to_copper_ion	0.0072	1	1
Cellular_response_to_zinc_ion	0.0054	1	1
Defense_response_to_protozoan	0.0078	1	1
Definitive_hemopoiesis	1	0.0077	1
Detoxification_of_copper_ion	0.0019	1	1
Embryonic_skeletal_system_morphogenesis	1	0.0019	1
Hemopoiesis	5.84e-06	1	1
Immune_effector_process	0.00094	1	1
Immune_system_process	0.0052	1	1
Lymphocyte_activation	7.01e-05	1	1
Lymphocyte_activation_involved_in_immune_response	2.69e-05	1	1
Lymphocyte_differentiation	2.12e-05	1	1
Myeloid_cell_differentiation	0.00012	1	1
Negative_regulation_of_biological_process	0.00055	1	1
Negative_regulation_of_cellular_metabolic_process	0.00094	1	1
Negative_regulation_of_cellular_process	0.0022	1	1
Negative_regulation_of_macromolecule_metabolic_process	0.0028	1	1
Negative_regulation_of_metabolic_process	0.0023	1	1
Negative_regulation_of_nitrogen_compound_metabolic_process	0.0019	1	1
Negative_regulation_of_transcription,_DNA-templated	3.87e-05	1	1
Negative_regulation_of_transcription_by_RNA_polymerase_II	7.07e-06	1	1
Positive_regulation_of_T_cell_cytokine_production	0.0072	1	1
Positive_regulation_of_T_cell_differentiation	0.0023	1	1
Positive_regulation_of_adaptive_immune_response	0.0023	1	1
Positive_regulation_of_biological_process	0.0083	1	1
Positive_regulation_of_cell_differentiation	0.0074	1	1
Positive_regulation_of_cellular_metabolic_process	9.11e-06	1	1
Positive_regulation_of_cellular_process	0.0038	1	1
Positive_regulation_of_developmental_process	0.0028	1	1
Positive_regulation_of_interleukin-13_production	0.0019	1	1
Positive_regulation_of_interleukin-4_production	0.0078	1	1
Positive_regulation_of_leukocyte_cell-cell_adhesion	0.0012	1	1
Positive_regulation_of_lymphocyte_activation	0.0034	1	1
Positive_regulation_of_macromolecule_metabolic_process	0.00022	1	1
Positive_regulation_of_multicellular_organismal_process	0.0023	1	1
Positive_regulation_of_nitrogen_compound_metabolic_process	4.06e-05	1	1
Positive_regulation_of_transcription,_DNA-templated	1.54e-06	1	1
Positive_regulation_of_transcription_by_RNA_polymerase_II	9.1e-07	1	1
Regulation_of_CD4-positive,_alpha-beta_T_cell_differentiation	0.00013	1	1
Regulation_of_RNA_metabolic_process	1.58e-06	1	1
Regulation_of_T-helper_2_cell_cytokine_production	0.0016	1	1
Regulation_of_T-helper_cell_differentiation	0.0011	1	1
Regulation_of_T_cell_differentiation	0.00013	1	1
Regulation_of_alpha-beta_T_cell_differentiation	2.21e-05	1	1
Regulation_of_cell_adhesion	0.0034	1	1
Regulation_of_cell_differentiation	0.00095	1	1
Regulation_of_cellular_biosynthetic_process	6.48e-06	1	1
Regulation_of_cellular_metabolic_process	5.67e-05	1	1
Regulation_of_gene_expression	3.87e-05	1	1
Regulation_of_hemopoiesis	3.87e-05	1	1
Regulation_of_immune_system_process	0.0055	1	1
Regulation_of_interleukin-13_production	0.00014	1	1
Regulation_of_interleukin-4_production	0.00056	1	1
Regulation_of_interleukin-5_production	0.0038	1	1
Regulation_of_leukocyte_cell-cell_adhesion	0.00083	1	1
Regulation_of_leukocyte_differentiation	0.00031	1	1
Regulation_of_lymphocyte_activation	0.0054	1	1
Regulation_of_macromolecule_biosynthetic_process	3.72e-06	1	1
Regulation_of_macromolecule_metabolic_process	0.00013	1	1
Regulation_of_multicellular_organismal_development	0.00025	1	1
Regulation_of_multicellular_organismal_process	0.0028	1	1
Regulation_of_nitrogen_compound_metabolic_process	6.99e-05	1	1
Regulation_of_primary_metabolic_process	3.87e-05	1	1
Regulation_of_transcription,_DNA-templated	1.58e-06	1	1
Regulation_of_transcription_by_RNA_polymerase_II	1.54e-06	1	1
Rhombomere_development	1	0.0029	1
T-helper_cell_differentiation	0.00074	1	1
T_cell_differentiation	0.001	1	1
