	cluster1	cluster2	cluster3
Adaptive_immune_response	1	0.0028	1
Anatomical_structure_development	0.007	1	1
Animal_organ_development	0.0024	1	1
Cell_activation	1	0.0028	1
Cell_differentiation	0.0015	1	1
Cellular_response_to_cadmium_ion	1	1	0.00014
Cellular_response_to_copper_ion	1	1	8.36e-05
Cellular_response_to_erythropoietin	1	1	0.0017
Cellular_response_to_zinc_ion	1	1	8.36e-05
Cellular_zinc_ion_homeostasis	1	1	0.00014
Detoxification_of_copper_ion	1	1	8.36e-05
Hemopoiesis	0.0026	0.0058	1
Immune_system_process	1	0.0012	1
Lymphocyte_activation	1	0.00088	1
Lymphocyte_differentiation	0.0023	1	1
Positive_regulation_of_B_cell_activation	1	0.0079	1
Positive_regulation_of_B_cell_proliferation	1	0.009	1
Positive_regulation_of_T_cell_activation	1	0.0091	1
Positive_regulation_of_biological_process	0.0067	1	1
Positive_regulation_of_cellular_metabolic_process	1	0.0049	1
Positive_regulation_of_cellular_process	0.006	1	1
Positive_regulation_of_leukocyte_activation	1	0.0012	1
Positive_regulation_of_leukocyte_cell-cell_adhesion	1	0.003	1
Positive_regulation_of_lymphocyte_activation	1	0.0023	1
Positive_regulation_of_macromolecule_metabolic_process	0.0055	1	1
Positive_regulation_of_metabolic_process	0.0039	0.0058	1
Positive_regulation_of_nitrogen_compound_metabolic_process	1	0.0028	1
Positive_regulation_of_protein_modification_process	1	0.0097	1
Positive_regulation_of_transcription,_DNA-templated	2.06e-05	1	1
Positive_regulation_of_transcription_by_RNA_polymerase_II	1.58e-05	1	1
Regulation_of_B_cell_activation	1	0.0012	1
Regulation_of_B_cell_proliferation	1	0.00051	1
Regulation_of_cell_differentiation	0.0053	1	1
Regulation_of_cellular_metabolic_process	1	0.0036	1
Regulation_of_developmental_process	9.65e-05	1	1
Regulation_of_gamma-delta_T_cell_differentiation	1	0.005	1
Regulation_of_gene_expression	0.00021	0.007	1
Regulation_of_immune_system_process	1	0.0066	1
Regulation_of_leukocyte_activation	1	0.00012	1
Regulation_of_lymphocyte_activation	1	0.00048	1
Regulation_of_lymphocyte_proliferation	1	0.0022	1
Regulation_of_macromolecule_metabolic_process	0.0022	1	1
Regulation_of_metabolic_process	0.0019	1	1
Regulation_of_multicellular_organismal_development	0.009	1	1
Regulation_of_nitrogen_compound_metabolic_process	0.0025	0.0043	1
Regulation_of_nucleobase-containing_compound_metabolic_process	1	0.0058	1
Regulation_of_primary_metabolic_process	0.0038	0.0066	1
Regulation_of_transcription,_DNA-templated	2.06e-05	1	1
Regulation_of_transcription_by_RNA_polymerase_II	1.94e-05	1	1
System_development	0.004	1	1
Tissue_development	0.00039	1	1
